Jurisdiction,Fire size class,Year,Number null
Manitoba,10.1 - 100 ha,1994,83
Manitoba,1.1 - 10 ha,1994,126
Manitoba,0.11 - 1.0 ha,1994,164
Manitoba,Up to 0.1 ha,1994,93
Manitoba,1000.1 - 10 000 ha,1993,3
Manitoba,10 000.1 - 100 000 ha,1993,3
Manitoba,100.1 - 1 000 ha,1993,19
Manitoba,10.1 - 100 ha,1993,31
Manitoba,1.1 - 10 ha,1993,55
Manitoba,0.11 - 1.0 ha,1993,73
Manitoba,Up to 0.1 ha,1993,55
Manitoba,Over 100 000 ha,1992,1
Manitoba,1000.1 - 10 000 ha,1992,9
Manitoba,10 000.1 - 100 000 ha,1992,6
Manitoba,100.1 - 1 000 ha,1992,16
Manitoba,10.1 - 100 ha,1992,37
Manitoba,1.1 - 10 ha,1992,78
Manitoba,0.11 - 1.0 ha,1992,94
Manitoba,Up to 0.1 ha,1992,57
Manitoba,1000.1 - 10 000 ha,1991,14
Manitoba,10 000.1 - 100 000 ha,1991,4
Manitoba,100.1 - 1 000 ha,1991,42
Manitoba,10.1 - 100 ha,1991,86
Manitoba,1.1 - 10 ha,1991,141
Manitoba,0.11 - 1.0 ha,1991,203
Manitoba,Up to 0.1 ha,1991,182
Manitoba,1000.1 - 10 000 ha,1990,5
Manitoba,100.1 - 1 000 ha,1990,16
Manitoba,10.1 - 100 ha,1990,60
Manitoba,1.1 - 10 ha,1990,134
Manitoba,0.11 - 1.0 ha,1990,182
Manitoba,Up to 0.1 ha,1990,165
New Brunswick,Unspecified,2021,180
New Brunswick,100.1 - 1 000 ha,2020,1
New Brunswick,10.1 - 100 ha,2020,12
New Brunswick,1.1 - 10 ha,2020,50
New Brunswick,0.11 - 1.0 ha,2020,130
New Brunswick,Up to 0.1 ha,2020,273
New Brunswick,10.1 - 100 ha,2019,3
New Brunswick,1.1 - 10 ha,2019,29
New Brunswick,0.11 - 1.0 ha,2019,52
New Brunswick,Up to 0.1 ha,2019,99
New Brunswick,10.1 - 100 ha,2018,5
New Brunswick,1.1 - 10 ha,2018,36
New Brunswick,0.11 - 1.0 ha,2018,77
New Brunswick,Up to 0.1 ha,2018,167
New Brunswick,100.1 - 1 000 ha,2017,1
New Brunswick,10.1 - 100 ha,2017,2
New Brunswick,1.1 - 10 ha,2017,17
New Brunswick,0.11 - 1.0 ha,2017,69
New Brunswick,Up to 0.1 ha,2017,156
New Brunswick,10.1 - 100 ha,2016,3
New Brunswick,1.1 - 10 ha,2016,52
New Brunswick,0.11 - 1.0 ha,2016,83
New Brunswick,Up to 0.1 ha,2016,147
New Brunswick,10.1 - 100 ha,2015,3
New Brunswick,1.1 - 10 ha,2015,40
New Brunswick,0.11 - 1.0 ha,2015,91
New Brunswick,Up to 0.1 ha,2015,88
New Brunswick,1.1 - 10 ha,2014,29
New Brunswick,0.11 - 1.0 ha,2014,73
New Brunswick,Up to 0.1 ha,2014,78
New Brunswick,100.1 - 1 000 ha,2013,3
New Brunswick,10.1 - 100 ha,2013,7
New Brunswick,1.1 - 10 ha,2013,73
New Brunswick,0.11 - 1.0 ha,2013,146
New Brunswick,Up to 0.1 ha,2013,124
New Brunswick,10.1 - 100 ha,2012,3
New Brunswick,1.1 - 10 ha,2012,70
New Brunswick,0.11 - 1.0 ha,2012,125
New Brunswick,Up to 0.1 ha,2012,140
New Brunswick,1.1 - 10 ha,2011,7
New Brunswick,0.11 - 1.0 ha,2011,29
New Brunswick,Up to 0.1 ha,2011,31
New Brunswick,10.1 - 100 ha,2010,1
New Brunswick,1.1 - 10 ha,2010,36
New Brunswick,0.11 - 1.0 ha,2010,49
New Brunswick,Up to 0.1 ha,2010,93
New Brunswick,10.1 - 100 ha,2009,4
New Brunswick,1.1 - 10 ha,2009,37
New Brunswick,0.11 - 1.0 ha,2009,64
New Brunswick,Up to 0.1 ha,2009,92
New Brunswick,10.1 - 100 ha,2008,2
New Brunswick,1.1 - 10 ha,2008,22
New Brunswick,0.11 - 1.0 ha,2008,50
New Brunswick,Up to 0.1 ha,2008,94
New Brunswick,100.1 - 1 000 ha,2007,1
New Brunswick,10.1 - 100 ha,2007,5
New Brunswick,1.1 - 10 ha,2007,60
New Brunswick,0.11 - 1.0 ha,2007,114
New Brunswick,Up to 0.1 ha,2007,138
New Brunswick,100.1 - 1 000 ha,2006,1
New Brunswick,10.1 - 100 ha,2006,9
New Brunswick,1.1 - 10 ha,2006,60
New Brunswick,0.11 - 1.0 ha,2006,108
New Brunswick,Up to 0.1 ha,2006,132
New Brunswick,10.1 - 100 ha,2005,8
New Brunswick,1.1 - 10 ha,2005,77
New Brunswick,0.11 - 1.0 ha,2005,98
New Brunswick,Up to 0.1 ha,2005,126
New Brunswick,10.1 - 100 ha,2004,8
New Brunswick,1.1 - 10 ha,2004,59
New Brunswick,0.11 - 1.0 ha,2004,98
New Brunswick,Up to 0.1 ha,2004,91
New Brunswick,10.1 - 100 ha,2003,4
New Brunswick,1.1 - 10 ha,2003,27
New Brunswick,0.11 - 1.0 ha,2003,93
New Brunswick,Up to 0.1 ha,2003,106
New Brunswick,10.1 - 100 ha,2002,3
New Brunswick,1.1 - 10 ha,2002,45
New Brunswick,0.11 - 1.0 ha,2002,98
New Brunswick,Up to 0.1 ha,2002,171
New Brunswick,10.1 - 100 ha,2001,10
New Brunswick,1.1 - 10 ha,2001,89
New Brunswick,0.11 - 1.0 ha,2001,168
New Brunswick,Up to 0.1 ha,2001,229
New Brunswick,100.1 - 1 000 ha,2000,1
New Brunswick,10.1 - 100 ha,2000,4
New Brunswick,1.1 - 10 ha,2000,55
New Brunswick,0.11 - 1.0 ha,2000,101
New Brunswick,Up to 0.1 ha,2000,181
New Brunswick,100.1 - 1 000 ha,1999,2
New Brunswick,10.1 - 100 ha,1999,15
New Brunswick,1.1 - 10 ha,1999,84
New Brunswick,0.11 - 1.0 ha,1999,151
New Brunswick,Up to 0.1 ha,1999,355
New Brunswick,100.1 - 1 000 ha,1998,1
New Brunswick,10.1 - 100 ha,1998,4
New Brunswick,1.1 - 10 ha,1998,32
New Brunswick,0.11 - 1.0 ha,1998,74
New Brunswick,Up to 0.1 ha,1998,177
New Brunswick,10.1 - 100 ha,1997,2
New Brunswick,1.1 - 10 ha,1997,41
New Brunswick,0.11 - 1.0 ha,1997,111
New Brunswick,Up to 0.1 ha,1997,214
New Brunswick,100.1 - 1 000 ha,1996,3
New Brunswick,10.1 - 100 ha,1996,6
New Brunswick,1.1 - 10 ha,1996,44
New Brunswick,0.11 - 1.0 ha,1996,110
New Brunswick,Up to 0.1 ha,1996,204
New Brunswick,10.1 - 100 ha,1995,10
New Brunswick,1.1 - 10 ha,1995,55
New Brunswick,0.11 - 1.0 ha,1995,118
New Brunswick,Up to 0.1 ha,1995,364
New Brunswick,100.1 - 1 000 ha,1994,1
New Brunswick,10.1 - 100 ha,1994,11
New Brunswick,1.1 - 10 ha,1994,76
New Brunswick,0.11 - 1.0 ha,1994,153
New Brunswick,Up to 0.1 ha,1994,277
New Brunswick,100.1 - 1 000 ha,1993,1
New Brunswick,10.1 - 100 ha,1993,8
New Brunswick,1.1 - 10 ha,1993,74
New Brunswick,0.11 - 1.0 ha,1993,119
New Brunswick,Up to 0.1 ha,1993,228
New Brunswick,1000.1 - 10 000 ha,1992,1
New Brunswick,100.1 - 1 000 ha,1992,2
New Brunswick,10.1 - 100 ha,1992,22
New Brunswick,1.1 - 10 ha,1992,110
New Brunswick,0.11 - 1.0 ha,1992,170
New Brunswick,Up to 0.1 ha,1992,271
New Brunswick,1000.1 - 10 000 ha,1991,1
New Brunswick,100.1 - 1 000 ha,1991,1
New Brunswick,10.1 - 100 ha,1991,11
New Brunswick,1.1 - 10 ha,1991,93
New Brunswick,0.11 - 1.0 ha,1991,172
New Brunswick,Up to 0.1 ha,1991,378
New Brunswick,1000.1 - 10 000 ha,1990,2
New Brunswick,10.1 - 100 ha,1990,2
New Brunswick,1.1 - 10 ha,1990,46
New Brunswick,0.11 - 1.0 ha,1990,77
New Brunswick,Up to 0.1 ha,1990,250
Newfoundland and Labrador,Unspecified,2021,82
Newfoundland and Labrador,1000.1 - 10 000 ha,2020,2
Newfoundland and Labrador,100.1 - 1 000 ha,2020,4
Newfoundland and Labrador,10.1 - 100 ha,2020,6
Newfoundland and Labrador,1.1 - 10 ha,2020,15
Newfoundland and Labrador,0.11 - 1.0 ha,2020,23
Newfoundland and Labrador,Up to 0.1 ha,2020,47
Newfoundland and Labrador,100.1 - 1 000 ha,2019,1
Newfoundland and Labrador,10.1 - 100 ha,2019,4
Newfoundland and Labrador,1.1 - 10 ha,2019,16
Newfoundland and Labrador,0.11 - 1.0 ha,2019,27
Newfoundland and Labrador,Up to 0.1 ha,2019,51
Newfoundland and Labrador,100.1 - 1 000 ha,2018,1
Newfoundland and Labrador,10.1 - 100 ha,2018,4
Newfoundland and Labrador,1.1 - 10 ha,2018,21
Newfoundland and Labrador,0.11 - 1.0 ha,2018,23
Newfoundland and Labrador,Up to 0.1 ha,2018,83
Newfoundland and Labrador,100.1 - 1 000 ha,2017,1
Newfoundland and Labrador,10.1 - 100 ha,2017,1
Newfoundland and Labrador,1.1 - 10 ha,2017,15
Newfoundland and Labrador,0.11 - 1.0 ha,2017,20
Newfoundland and Labrador,Up to 0.1 ha,2017,45
Newfoundland and Labrador,1000.1 - 10 000 ha,2016,1
Newfoundland and Labrador,100.1 - 1 000 ha,2016,3
Newfoundland and Labrador,10.1 - 100 ha,2016,3
Newfoundland and Labrador,1.1 - 10 ha,2016,4
Newfoundland and Labrador,0.11 - 1.0 ha,2016,1
Newfoundland and Labrador,Up to 0.1 ha,2016,6
Newfoundland and Labrador,1000.1 - 10 000 ha,2015,2
Newfoundland and Labrador,100.1 - 1 000 ha,2015,2
Newfoundland and Labrador,10.1 - 100 ha,2015,3
Newfoundland and Labrador,1.1 - 10 ha,2015,2
Newfoundland and Labrador,0.11 - 1.0 ha,2015,4
Newfoundland and Labrador,Up to 0.1 ha,2015,14
Newfoundland and Labrador,1000.1 - 10 000 ha,2014,1
Newfoundland and Labrador,1.1 - 10 ha,2014,1
Newfoundland and Labrador,1000.1 - 10 000 ha,2013,1
Newfoundland and Labrador,10 000.1 - 100 000 ha,2013,1
Newfoundland and Labrador,10.1 - 100 ha,2013,2
Newfoundland and Labrador,1.1 - 10 ha,2013,8
Newfoundland and Labrador,0.11 - 1.0 ha,2013,15
Newfoundland and Labrador,Up to 0.1 ha,2013,44
Newfoundland and Labrador,1000.1 - 10 000 ha,2012,9
Newfoundland and Labrador,100.1 - 1 000 ha,2012,12
Newfoundland and Labrador,10.1 - 100 ha,2012,6
Newfoundland and Labrador,1.1 - 10 ha,2012,15
Newfoundland and Labrador,0.11 - 1.0 ha,2012,32
Newfoundland and Labrador,Up to 0.1 ha,2012,64
Newfoundland and Labrador,100.1 - 1 000 ha,2011,2
Newfoundland and Labrador,10.1 - 100 ha,2011,2
Newfoundland and Labrador,1.1 - 10 ha,2011,9
Newfoundland and Labrador,0.11 - 1.0 ha,2011,9
Newfoundland and Labrador,Up to 0.1 ha,2011,20
Newfoundland and Labrador,100.1 - 1 000 ha,2010,3
Newfoundland and Labrador,10.1 - 100 ha,2010,1
Newfoundland and Labrador,1.1 - 10 ha,2010,7
Newfoundland and Labrador,0.11 - 1.0 ha,2010,10
Newfoundland and Labrador,Up to 0.1 ha,2010,25
Newfoundland and Labrador,10 000.1 - 100 000 ha,2009,1
Newfoundland and Labrador,10.1 - 100 ha,2009,9
Newfoundland and Labrador,1.1 - 10 ha,2009,21
Newfoundland and Labrador,0.11 - 1.0 ha,2009,32
Newfoundland and Labrador,Up to 0.1 ha,2009,88
Newfoundland and Labrador,10.1 - 100 ha,2008,3
Newfoundland and Labrador,1.1 - 10 ha,2008,16
Newfoundland and Labrador,0.11 - 1.0 ha,2008,19
Newfoundland and Labrador,Up to 0.1 ha,2008,35
Newfoundland and Labrador,1000.1 - 10 000 ha,2007,3
Newfoundland and Labrador,100.1 - 1 000 ha,2007,3
Newfoundland and Labrador,10.1 - 100 ha,2007,5
Newfoundland and Labrador,1.1 - 10 ha,2007,8
Newfoundland and Labrador,0.11 - 1.0 ha,2007,7
Newfoundland and Labrador,Up to 0.1 ha,2007,40
Newfoundland and Labrador,1000.1 - 10 000 ha,2006,1
Newfoundland and Labrador,100.1 - 1 000 ha,2006,1
Newfoundland and Labrador,10.1 - 100 ha,2006,6
Newfoundland and Labrador,1.1 - 10 ha,2006,11
Newfoundland and Labrador,0.11 - 1.0 ha,2006,12
Newfoundland and Labrador,Up to 0.1 ha,2006,35
Newfoundland and Labrador,1000.1 - 10 000 ha,2005,4
Newfoundland and Labrador,100.1 - 1 000 ha,2005,1
Newfoundland and Labrador,10.1 - 100 ha,2005,6
Newfoundland and Labrador,1.1 - 10 ha,2005,19
Newfoundland and Labrador,0.11 - 1.0 ha,2005,23
Newfoundland and Labrador,Up to 0.1 ha,2005,68
Newfoundland and Labrador,100.1 - 1 000 ha,2004,3
Newfoundland and Labrador,1.1 - 10 ha,2004,17
Newfoundland and Labrador,0.11 - 1.0 ha,2004,22
Newfoundland and Labrador,Up to 0.1 ha,2004,83
Newfoundland and Labrador,1000.1 - 10 000 ha,2003,9
Newfoundland and Labrador,100.1 - 1 000 ha,2003,6
Newfoundland and Labrador,10.1 - 100 ha,2003,4
Newfoundland and Labrador,1.1 - 10 ha,2003,16
Newfoundland and Labrador,0.11 - 1.0 ha,2003,26
Newfoundland and Labrador,Up to 0.1 ha,2003,79
Newfoundland and Labrador,1000.1 - 10 000 ha,2002,1
Newfoundland and Labrador,10 000.1 - 100 000 ha,2002,1
Newfoundland and Labrador,100.1 - 1 000 ha,2002,4
Newfoundland and Labrador,10.1 - 100 ha,2002,8
Newfoundland and Labrador,1.1 - 10 ha,2002,8
Newfoundland and Labrador,0.11 - 1.0 ha,2002,24
Newfoundland and Labrador,Up to 0.1 ha,2002,54
Newfoundland and Labrador,100.1 - 1 000 ha,2001,2
Newfoundland and Labrador,10.1 - 100 ha,2001,7
Newfoundland and Labrador,1.1 - 10 ha,2001,11
Newfoundland and Labrador,0.11 - 1.0 ha,2001,33
Newfoundland and Labrador,Up to 0.1 ha,2001,129
Newfoundland and Labrador,1000.1 - 10 000 ha,2000,11
Newfoundland and Labrador,10 000.1 - 100 000 ha,2000,3
Newfoundland and Labrador,100.1 - 1 000 ha,2000,10
Newfoundland and Labrador,10.1 - 100 ha,2000,3
Newfoundland and Labrador,1.1 - 10 ha,2000,10
Newfoundland and Labrador,0.11 - 1.0 ha,2000,30
Newfoundland and Labrador,Up to 0.1 ha,2000,82
Newfoundland and Labrador,1000.1 - 10 000 ha,1999,2
Newfoundland and Labrador,10 000.1 - 100 000 ha,1999,1
Newfoundland and Labrador,100.1 - 1 000 ha,1999,9
Newfoundland and Labrador,10.1 - 100 ha,1999,9
Newfoundland and Labrador,1.1 - 10 ha,1999,29
Newfoundland and Labrador,0.11 - 1.0 ha,1999,43
Newfoundland and Labrador,Up to 0.1 ha,1999,95
Newfoundland and Labrador,1000.1 - 10 000 ha,1998,7
Newfoundland and Labrador,10 000.1 - 100 000 ha,1998,1
Newfoundland and Labrador,100.1 - 1 000 ha,1998,5
Newfoundland and Labrador,10.1 - 100 ha,1998,7
Newfoundland and Labrador,1.1 - 10 ha,1998,29
Newfoundland and Labrador,0.11 - 1.0 ha,1998,39
Newfoundland and Labrador,Up to 0.1 ha,1998,92
Newfoundland and Labrador,1000.1 - 10 000 ha,1997,1
Newfoundland and Labrador,100.1 - 1 000 ha,1997,2
Newfoundland and Labrador,10.1 - 100 ha,1997,4
Newfoundland and Labrador,1.1 - 10 ha,1997,9
Newfoundland and Labrador,0.11 - 1.0 ha,1997,26
Newfoundland and Labrador,Up to 0.1 ha,1997,36
Newfoundland and Labrador,1000.1 - 10 000 ha,1996,15
Newfoundland and Labrador,10 000.1 - 100 000 ha,1996,2
Newfoundland and Labrador,100.1 - 1 000 ha,1996,8
Newfoundland and Labrador,10.1 - 100 ha,1996,4
Newfoundland and Labrador,1.1 - 10 ha,1996,6
Newfoundland and Labrador,0.11 - 1.0 ha,1996,21
Newfoundland and Labrador,Up to 0.1 ha,1996,55
Newfoundland and Labrador,100.1 - 1 000 ha,1995,2
Newfoundland and Labrador,10.1 - 100 ha,1995,7
Newfoundland and Labrador,1.1 - 10 ha,1995,21
Newfoundland and Labrador,0.11 - 1.0 ha,1995,19
Newfoundland and Labrador,Up to 0.1 ha,1995,37
Newfoundland and Labrador,1000.1 - 10 000 ha,1994,1
Newfoundland and Labrador,10 000.1 - 100 000 ha,1994,2
Newfoundland and Labrador,100.1 - 1 000 ha,1994,3
Newfoundland and Labrador,10.1 - 100 ha,1994,8
Newfoundland and Labrador,1.1 - 10 ha,1994,18
Newfoundland and Labrador,0.11 - 1.0 ha,1994,29
Newfoundland and Labrador,Up to 0.1 ha,1994,68
Newfoundland and Labrador,1000.1 - 10 000 ha,1993,6
Newfoundland and Labrador,100.1 - 1 000 ha,1993,5
Newfoundland and Labrador,10.1 - 100 ha,1993,1
Newfoundland and Labrador,1.1 - 10 ha,1993,4
Newfoundland and Labrador,0.11 - 1.0 ha,1993,23
Newfoundland and Labrador,Up to 0.1 ha,1993,26
Newfoundland and Labrador,100.1 - 1 000 ha,1992,4
Newfoundland and Labrador,10.1 - 100 ha,1992,4
Newfoundland and Labrador,1.1 - 10 ha,1992,18
Newfoundland and Labrador,0.11 - 1.0 ha,1992,40
Newfoundland and Labrador,Up to 0.1 ha,1992,40
Newfoundland and Labrador,1000.1 - 10 000 ha,1991,13
Newfoundland and Labrador,100.1 - 1 000 ha,1991,9
Newfoundland and Labrador,10.1 - 100 ha,1991,9
Newfoundland and Labrador,1.1 - 10 ha,1991,16
Newfoundland and Labrador,0.11 - 1.0 ha,1991,29
Newfoundland and Labrador,Up to 0.1 ha,1991,39
Newfoundland and Labrador,1000.1 - 10 000 ha,1990,3
Newfoundland and Labrador,100.1 - 1 000 ha,1990,11
Newfoundland and Labrador,10.1 - 100 ha,1990,2
Newfoundland and Labrador,1.1 - 10 ha,1990,22
Newfoundland and Labrador,0.11 - 1.0 ha,1990,31
Newfoundland and Labrador,Up to 0.1 ha,1990,96
Northwest Territories,Unspecified,2021,140
Northwest Territories,1000.1 - 10 000 ha,2020,6
Northwest Territories,100.1 - 1 000 ha,2020,12
Northwest Territories,10.1 - 100 ha,2020,10
Northwest Territories,1.1 - 10 ha,2020,17
Northwest Territories,0.11 - 1.0 ha,2020,8
Northwest Territories,Up to 0.1 ha,2020,17
Northwest Territories,1000.1 - 10 000 ha,2019,14
Northwest Territories,10 000.1 - 100 000 ha,2019,1
Northwest Territories,100.1 - 1 000 ha,2019,27
Northwest Territories,10.1 - 100 ha,2019,29
Northwest Territories,1.1 - 10 ha,2019,27
Northwest Territories,0.11 - 1.0 ha,2019,24
Northwest Territories,Up to 0.1 ha,2019,25
Northwest Territories,1000.1 - 10 000 ha,2018,6
Northwest Territories,100.1 - 1 000 ha,2018,11
Northwest Territories,10.1 - 100 ha,2018,21
Northwest Territories,1.1 - 10 ha,2018,13
Northwest Territories,0.11 - 1.0 ha,2018,4
Northwest Territories,Up to 0.1 ha,2018,8
Northwest Territories,Over 100 000 ha,2017,2
Northwest Territories,1000.1 - 10 000 ha,2017,56
Northwest Territories,10 000.1 - 100 000 ha,2017,13
Northwest Territories,100.1 - 1 000 ha,2017,54
Northwest Territories,10.1 - 100 ha,2017,48
Northwest Territories,1.1 - 10 ha,2017,28
Northwest Territories,0.11 - 1.0 ha,2017,29
Northwest Territories,Up to 0.1 ha,2017,38
Northwest Territories,1000.1 - 10 000 ha,2016,31
Northwest Territories,10 000.1 - 100 000 ha,2016,5
Northwest Territories,100.1 - 1 000 ha,2016,31
Northwest Territories,10.1 - 100 ha,2016,34
Northwest Territories,1.1 - 10 ha,2016,33
Northwest Territories,0.11 - 1.0 ha,2016,29
Northwest Territories,Up to 0.1 ha,2016,30
Northwest Territories,1000.1 - 10 000 ha,2015,59
Northwest Territories,10 000.1 - 100 000 ha,2015,18
Northwest Territories,100.1 - 1 000 ha,2015,52
Northwest Territories,10.1 - 100 ha,2015,38
Northwest Territories,1.1 - 10 ha,2015,27
Northwest Territories,0.11 - 1.0 ha,2015,37
Northwest Territories,Up to 0.1 ha,2015,26
Northwest Territories,Over 100 000 ha,2014,8
Northwest Territories,1000.1 - 10 000 ha,2014,77
Northwest Territories,10 000.1 - 100 000 ha,2014,44
Northwest Territories,100.1 - 1 000 ha,2014,80
Northwest Territories,10.1 - 100 ha,2014,51
Northwest Territories,1.1 - 10 ha,2014,39
Northwest Territories,0.11 - 1.0 ha,2014,64
Northwest Territories,Up to 0.1 ha,2014,25
Northwest Territories,1000.1 - 10 000 ha,2013,46
Northwest Territories,10 000.1 - 100 000 ha,2013,15
Northwest Territories,100.1 - 1 000 ha,2013,43
Northwest Territories,10.1 - 100 ha,2013,40
Northwest Territories,1.1 - 10 ha,2013,51
Northwest Territories,0.11 - 1.0 ha,2013,40
Northwest Territories,Up to 0.1 ha,2013,22
Northwest Territories,1000.1 - 10 000 ha,2012,44
Northwest Territories,10 000.1 - 100 000 ha,2012,6
Northwest Territories,100.1 - 1 000 ha,2012,55
Northwest Territories,10.1 - 100 ha,2012,48
Northwest Territories,1.1 - 10 ha,2012,57
Northwest Territories,0.11 - 1.0 ha,2012,43
Northwest Territories,Up to 0.1 ha,2012,36
Northwest Territories,1000.1 - 10 000 ha,2011,23
Northwest Territories,10 000.1 - 100 000 ha,2011,5
Northwest Territories,100.1 - 1 000 ha,2011,23
Northwest Territories,10.1 - 100 ha,2011,30
Northwest Territories,1.1 - 10 ha,2011,50
Northwest Territories,0.11 - 1.0 ha,2011,43
Northwest Territories,Up to 0.1 ha,2011,27
Northwest Territories,1000.1 - 10 000 ha,2010,30
Northwest Territories,10 000.1 - 100 000 ha,2010,9
Northwest Territories,100.1 - 1 000 ha,2010,32
Northwest Territories,10.1 - 100 ha,2010,42
Northwest Territories,1.1 - 10 ha,2010,41
Northwest Territories,0.11 - 1.0 ha,2010,42
Northwest Territories,Up to 0.1 ha,2010,28
Northwest Territories,1000.1 - 10 000 ha,2009,4
Northwest Territories,100.1 - 1 000 ha,2009,10
Northwest Territories,10.1 - 100 ha,2009,5
Northwest Territories,1.1 - 10 ha,2009,14
Northwest Territories,0.11 - 1.0 ha,2009,21
Northwest Territories,Up to 0.1 ha,2009,6
Northwest Territories,1000.1 - 10 000 ha,2008,23
Northwest Territories,10 000.1 - 100 000 ha,2008,4
Northwest Territories,100.1 - 1 000 ha,2008,33
Northwest Territories,10.1 - 100 ha,2008,72
Northwest Territories,1.1 - 10 ha,2008,53
Northwest Territories,0.11 - 1.0 ha,2008,33
Northwest Territories,Up to 0.1 ha,2008,22
Northwest Territories,1000.1 - 10 000 ha,2007,14
Northwest Territories,10 000.1 - 100 000 ha,2007,10
Northwest Territories,100.1 - 1 000 ha,2007,29
Northwest Territories,10.1 - 100 ha,2007,27
Northwest Territories,1.1 - 10 ha,2007,40
Northwest Territories,0.11 - 1.0 ha,2007,41
Northwest Territories,Up to 0.1 ha,2007,23
Northwest Territories,1000.1 - 10 000 ha,2006,16
Northwest Territories,100.1 - 1 000 ha,2006,19
Northwest Territories,10.1 - 100 ha,2006,33
Northwest Territories,1.1 - 10 ha,2006,39
Northwest Territories,0.11 - 1.0 ha,2006,36
Northwest Territories,Up to 0.1 ha,2006,24
Northwest Territories,1000.1 - 10 000 ha,2005,19
Northwest Territories,10 000.1 - 100 000 ha,2005,5
Northwest Territories,100.1 - 1 000 ha,2005,27
Northwest Territories,10.1 - 100 ha,2005,45
Northwest Territories,1.1 - 10 ha,2005,69
Northwest Territories,0.11 - 1.0 ha,2005,57
Northwest Territories,Up to 0.1 ha,2005,39
Northwest Territories,1000.1 - 10 000 ha,2004,51
Northwest Territories,10 000.1 - 100 000 ha,2004,10
Northwest Territories,100.1 - 1 000 ha,2004,39
Northwest Territories,10.1 - 100 ha,2004,36
Northwest Territories,1.1 - 10 ha,2004,50
Northwest Territories,0.11 - 1.0 ha,2004,65
Northwest Territories,Up to 0.1 ha,2004,48
Northwest Territories,1000.1 - 10 000 ha,2003,16
Northwest Territories,10 000.1 - 100 000 ha,2003,4
Northwest Territories,100.1 - 1 000 ha,2003,16
Northwest Territories,10.1 - 100 ha,2003,25
Northwest Territories,1.1 - 10 ha,2003,42
Northwest Territories,0.11 - 1.0 ha,2003,32
Northwest Territories,Up to 0.1 ha,2003,25
Northwest Territories,1000.1 - 10 000 ha,2002,7
Northwest Territories,100.1 - 1 000 ha,2002,7
Northwest Territories,10.1 - 100 ha,2002,11
Northwest Territories,1.1 - 10 ha,2002,28
Northwest Territories,0.11 - 1.0 ha,2002,20
Northwest Territories,Up to 0.1 ha,2002,12
Northwest Territories,1000.1 - 10 000 ha,2001,12
Northwest Territories,10 000.1 - 100 000 ha,2001,4
Northwest Territories,100.1 - 1 000 ha,2001,4
Northwest Territories,10.1 - 100 ha,2001,13
Northwest Territories,1.1 - 10 ha,2001,34
Northwest Territories,0.11 - 1.0 ha,2001,33
Northwest Territories,Up to 0.1 ha,2001,28
Northwest Territories,1000.1 - 10 000 ha,2000,28
Northwest Territories,10 000.1 - 100 000 ha,2000,3
Northwest Territories,100.1 - 1 000 ha,2000,16
Northwest Territories,10.1 - 100 ha,2000,40
Northwest Territories,1.1 - 10 ha,2000,70
Northwest Territories,0.11 - 1.0 ha,2000,75
Northwest Territories,Up to 0.1 ha,2000,43
Northwest Territories,Over 100 000 ha,1999,2
Northwest Territories,1000.1 - 10 000 ha,1999,18
Northwest Territories,10 000.1 - 100 000 ha,1999,4
Northwest Territories,100.1 - 1 000 ha,1999,16
Northwest Territories,10.1 - 100 ha,1999,20
Northwest Territories,1.1 - 10 ha,1999,48
Northwest Territories,0.11 - 1.0 ha,1999,36
Northwest Territories,Up to 0.1 ha,1999,28
Northwest Territories,Over 100 000 ha,1998,3
Northwest Territories,1000.1 - 10 000 ha,1998,44
Northwest Territories,10 000.1 - 100 000 ha,1998,25
Northwest Territories,100.1 - 1 000 ha,1998,34
Northwest Territories,10.1 - 100 ha,1998,54
Northwest Territories,1.1 - 10 ha,1998,98
Northwest Territories,0.11 - 1.0 ha,1998,83
Northwest Territories,Up to 0.1 ha,1998,58
Northwest Territories,1000.1 - 10 000 ha,1997,5
Northwest Territories,10 000.1 - 100 000 ha,1997,1
Northwest Territories,100.1 - 1 000 ha,1997,13
Northwest Territories,10.1 - 100 ha,1997,13
Northwest Territories,1.1 - 10 ha,1997,31
Northwest Territories,0.11 - 1.0 ha,1997,20
Northwest Territories,Up to 0.1 ha,1997,22
Northwest Territories,1000.1 - 10 000 ha,1996,31
Northwest Territories,10 000.1 - 100 000 ha,1996,13
Northwest Territories,100.1 - 1 000 ha,1996,53
Northwest Territories,10.1 - 100 ha,1996,51
Northwest Territories,1.1 - 10 ha,1996,77
Northwest Territories,0.11 - 1.0 ha,1996,83
Northwest Territories,Up to 0.1 ha,1996,42
Northwest Territories,Over 100 000 ha,1995,6
Northwest Territories,1000.1 - 10 000 ha,1995,15
Northwest Territories,10 000.1 - 100 000 ha,1995,11
Northwest Territories,100.1 - 1 000 ha,1995,14
Northwest Territories,10.1 - 100 ha,1995,17
Northwest Territories,1.1 - 10 ha,1995,49
Northwest Territories,0.11 - 1.0 ha,1995,52
Northwest Territories,Up to 0.1 ha,1995,54
Northwest Territories,Over 100 000 ha,1994,7
Northwest Territories,1000.1 - 10 000 ha,1994,40
Northwest Territories,10 000.1 - 100 000 ha,1994,30
Northwest Territories,100.1 - 1 000 ha,1994,41
Northwest Territories,10.1 - 100 ha,1994,81
Northwest Territories,1.1 - 10 ha,1994,148
