Jurisdiction,Fire size class,Year,Number null
Alberta,1.1 - 10 ha,2004,172
Alberta,0.11 - 1.0 ha,2004,391
Alberta,Up to 0.1 ha,2004,1005
Alberta,1000.1 - 10 000 ha,2003,11
Alberta,10 000.1 - 100 000 ha,2003,4
Alberta,100.1 - 1 000 ha,2003,14
Alberta,10.1 - 100 ha,2003,31
Alberta,1.1 - 10 ha,2003,114
Alberta,0.11 - 1.0 ha,2003,243
Alberta,Up to 0.1 ha,2003,840
Alberta,Over 100 000 ha,2002,2
Alberta,1000.1 - 10 000 ha,2002,16
Alberta,10 000.1 - 100 000 ha,2002,2
Alberta,100.1 - 1 000 ha,2002,14
Alberta,10.1 - 100 ha,2002,52
Alberta,1.1 - 10 ha,2002,176
Alberta,0.11 - 1.0 ha,2002,341
Alberta,Up to 0.1 ha,2002,890
Alberta,Over 100 000 ha,2001,1
Alberta,1000.1 - 10 000 ha,2001,8
Alberta,10 000.1 - 100 000 ha,2001,1
Alberta,100.1 - 1 000 ha,2001,25
Alberta,10.1 - 100 ha,2001,30
Alberta,1.1 - 10 ha,2001,162
Alberta,0.11 - 1.0 ha,2001,290
Alberta,Up to 0.1 ha,2001,507
Alberta,1000.1 - 10 000 ha,2000,11
Alberta,100.1 - 1 000 ha,2000,19
Alberta,10.1 - 100 ha,2000,56
Alberta,1.1 - 10 ha,2000,172
Alberta,0.11 - 1.0 ha,2000,261
Alberta,Up to 0.1 ha,2000,345
Alberta,1000.1 - 10 000 ha,1999,24
Alberta,10 000.1 - 100 000 ha,1999,2
Alberta,100.1 - 1 000 ha,1999,36
Alberta,10.1 - 100 ha,1999,86
Alberta,1.1 - 10 ha,1999,239
Alberta,0.11 - 1.0 ha,1999,400
Alberta,Up to 0.1 ha,1999,584
Alberta,Over 100 000 ha,1998,2
Alberta,1000.1 - 10 000 ha,1998,23
Alberta,10 000.1 - 100 000 ha,1998,14
Alberta,100.1 - 1 000 ha,1998,49
Alberta,10.1 - 100 ha,1998,105
Alberta,1.1 - 10 ha,1998,323
Alberta,0.11 - 1.0 ha,1998,548
Alberta,Up to 0.1 ha,1998,674
Alberta,1000.1 - 10 000 ha,1997,1
Alberta,100.1 - 1 000 ha,1997,4
Alberta,10.1 - 100 ha,1997,20
Alberta,1.1 - 10 ha,1997,85
Alberta,0.11 - 1.0 ha,1997,163
Alberta,Up to 0.1 ha,1997,190
Alberta,1000.1 - 10 000 ha,1996,2
Alberta,100.1 - 1 000 ha,1996,5
Alberta,10.1 - 100 ha,1996,12
Alberta,1.1 - 10 ha,1996,78
Alberta,0.11 - 1.0 ha,1996,114
Alberta,Up to 0.1 ha,1996,187
Alberta,Over 100 000 ha,1995,2
Alberta,1000.1 - 10 000 ha,1995,8
Alberta,10 000.1 - 100 000 ha,1995,2
Alberta,100.1 - 1 000 ha,1995,12
Alberta,10.1 - 100 ha,1995,53
Alberta,1.1 - 10 ha,1995,173
Alberta,0.11 - 1.0 ha,1995,240
Alberta,Up to 0.1 ha,1995,318
Alberta,1000.1 - 10 000 ha,1994,6
Alberta,10 000.1 - 100 000 ha,1994,3
Alberta,100.1 - 1 000 ha,1994,17
Alberta,10.1 - 100 ha,1994,51
Alberta,1.1 - 10 ha,1994,167
Alberta,0.11 - 1.0 ha,1994,292
Alberta,Up to 0.1 ha,1994,395
Alberta,1000.1 - 10 000 ha,1993,5
Alberta,100.1 - 1 000 ha,1993,21
Alberta,10.1 - 100 ha,1993,56
Alberta,1.1 - 10 ha,1993,170
Alberta,0.11 - 1.0 ha,1993,273
Alberta,Up to 0.1 ha,1993,351
Alberta,100.1 - 1 000 ha,1992,9
Alberta,10.1 - 100 ha,1992,32
Alberta,1.1 - 10 ha,1992,122
Alberta,0.11 - 1.0 ha,1992,272
Alberta,Up to 0.1 ha,1992,626
Alberta,1000.1 - 10 000 ha,1991,1
Alberta,100.1 - 1 000 ha,1991,12
Alberta,10.1 - 100 ha,1991,44
Alberta,1.1 - 10 ha,1991,149
Alberta,0.11 - 1.0 ha,1991,273
Alberta,Up to 0.1 ha,1991,465
Alberta,1000.1 - 10 000 ha,1990,3
Alberta,10 000.1 - 100 000 ha,1990,3
Alberta,100.1 - 1 000 ha,1990,23
Alberta,10.1 - 100 ha,1990,54
Alberta,1.1 - 10 ha,1990,160
Alberta,0.11 - 1.0 ha,1990,380
Alberta,Up to 0.1 ha,1990,743
British Columbia,Unspecified,2021,1635
British Columbia,1000.1 - 10 000 ha,2020,4
British Columbia,100.1 - 1 000 ha,2020,4
British Columbia,10.1 - 100 ha,2020,33
British Columbia,1.1 - 10 ha,2020,79
British Columbia,0.11 - 1.0 ha,2020,152
British Columbia,Up to 0.1 ha,2020,412
British Columbia,1000.1 - 10 000 ha,2019,5
British Columbia,100.1 - 1 000 ha,2019,12
British Columbia,10.1 - 100 ha,2019,36
British Columbia,1.1 - 10 ha,2019,114
British Columbia,0.11 - 1.0 ha,2019,177
British Columbia,Up to 0.1 ha,2019,499
British Columbia,Over 100 000 ha,2018,3
British Columbia,1000.1 - 10 000 ha,2018,61
British Columbia,10 000.1 - 100 000 ha,2018,22
British Columbia,100.1 - 1 000 ha,2018,138
British Columbia,10.1 - 100 ha,2018,195
British Columbia,1.1 - 10 ha,2018,251
British Columbia,0.11 - 1.0 ha,2018,418
British Columbia,Up to 0.1 ha,2018,1035
British Columbia,Over 100 000 ha,2017,3
British Columbia,1000.1 - 10 000 ha,2017,37
British Columbia,10 000.1 - 100 000 ha,2017,8
British Columbia,100.1 - 1 000 ha,2017,44
British Columbia,10.1 - 100 ha,2017,86
British Columbia,1.1 - 10 ha,2017,157
British Columbia,0.11 - 1.0 ha,2017,287
British Columbia,Up to 0.1 ha,2017,778
British Columbia,1000.1 - 10 000 ha,2016,2
British Columbia,10 000.1 - 100 000 ha,2016,2
British Columbia,100.1 - 1 000 ha,2016,25
British Columbia,10.1 - 100 ha,2016,75
British Columbia,1.1 - 10 ha,2016,107
British Columbia,0.11 - 1.0 ha,2016,210
British Columbia,Up to 0.1 ha,2016,654
British Columbia,1000.1 - 10 000 ha,2015,28
British Columbia,10 000.1 - 100 000 ha,2015,9
British Columbia,100.1 - 1 000 ha,2015,52
British Columbia,10.1 - 100 ha,2015,86
British Columbia,1.1 - 10 ha,2015,224
British Columbia,0.11 - 1.0 ha,2015,385
British Columbia,Up to 0.1 ha,2015,1087
